Item,condition,sentence_ambiguous,sentence_gp,sentence_non_gp
1,NPS,The suspect showed the file,The suspect hid the file,The suspect lied the file
2,NPS,The politician mentioned the bill,The politician signed the bill,The politician said the bill
3,NPS,The woman maintained the mail,The woman received the mail,The woman assumed the mail
4,NPS,The boy found the chicken,The boy rescued the chicken,The boy claimed the chicken
5,NPS,The doctor demonstrated the operation,The doctor tried the operation,The doctor proved the operation
6,NPS,The professor noticed the grant,The professor won the grant,The professor indicated the grant
7,NPS,The technician reported the service,The technician reset the service,The technician thought the service
8,NPS,The mechanic observed the truck,The mechanic watched the truck,The mechanic agreed the truck
9,NPS,The guitarist knew the song,The guitarist wrote the song,The guitarist hoped the song
10,NPS,The player revealed the bonus,The player emphasized the bonus,The player argued the bonus
11,NPS,The employee claimed the job,The employee did the job,The employee complained the job
12,NPS,The manager discovered the training,The manager hated the training,The manager decided the training
13,NPZ,Because the suspect changed the file,Because the suspect altered the file,Because the suspect lied the file
14,NPZ,After the politician signed the bill,After the politician rejected the bill,After the politician arrived the bill
15,NPZ,After the woman moved the mail,After the woman shredded the mail,After the woman came the mail
16,NPZ,Although the boy attacked the chicken,Although the boy grabbed the chicken,Although the boy sat the chicken
17,NPZ,After the doctor left the operation,After the doctor abandoned the operation,After the doctor stumbled the operation
18,NPZ,After the professor read the grant,After the professor won the grant,After the professor appeared the grant
19,NPZ,After the technician called the service,After the technician contacted the service,After the technician agreed the service
20,NPZ,Because the mechanic stopped the truck,Because the mechanic painted the truck,Because the mechanic stayed the truck
21,NPZ,After the guitarist began the song,After the guitarist played the song,After the guitarist fell the song
22,NPZ,Once the employee started the job,Once the employee found the job,Once the employee complained the job
23,NPZ,While the manager worked the training,While the manager understood the training,While the manager replied the training
24,NPZ,After the participant lost the money,After the participant mentioned the money,After the participant apologized the money
25,MVRR,The suspect sent the file,The suspect destroyed the file,The suspect forbidden the file
26,MVRR,The politician handed the bill,The politician rejected the bill,The politician forgiven the bill
27,MVRR,The woman brought the mail,The woman moved the mail,The woman shown the mail
28,MVRR,The boy fed the chicken,The boy ate the chicken,The boy bitten the chicken
29,MVRR,The doctor offered the operation,The doctor performed the operation,The doctor seen the operation
30,MVRR,The professor awarded the grant,The professor won the grant,The professor written the grant
31,MVRR,The technician refused the service,The technician terminated the service,The technician taught the service
32,MVRR,The guitarist assigned the song,The guitarist played the song,The guitarist sung the song
33,MVRR,The player paid the bonus,The player spent the bonus,The player given the bonus
